Date,Number
2022-04-20,88
2020-11-17,60
2021-02-03,53
2021-10-07,49
2021-11-09,38
2021-11-26,28
2021-11-09,27
2022-06-14,27
2021-11-26,27
2021-12-02,25
2022-01-20,25
2022-02-09,24
2021-01-04,24
2021-12-09,24
2021-09-05,23
2022-01-17,22
2022-03-06,22
2022-01-17,22
2022-01-13,22
2022-03-14,22
2021-06-10,21
2022-03-02,21
2022-01-12,21
2022-01-18,20
2021-11-26,20
2022-01-17,19
2021-09-11,17
2022-02-09,17
2022-01-17,17
2021-05-14,17
2022-03-14,17
2021-09-24,16
2022-03-01,15
2022-03-15,15
2022-01-19,14
2021-05-20,13
2021-09-27,13
2022-03-01,13
2020-11-17,13
2021-11-18,13
2022-01-19,13
2022-01-13,13
2021-03-05,12
2022-01-20,12
2022-03-02,11
2022-01-19,11
2021-08-31,11
2022-04-20,11
2022-07-19,11
2021-05-31,11
2021-11-26,11
2022-03-14,11
2022-04-20,11
2022-08-13,11
2022-03-15,11
2022-02-09,10
2022-01-06,10
2022-03-14,10
2020-11-17,10
2022-01-17,10
2022-05-02,10
2021-08-31,10
2022-01-13,9
2020-12-01,9
2021-06-10,9
2021-06-25,9
2022-04-22,9
2022-03-01,9
2022-01-20,9
2022-03-09,9
2021-12-24,9
2022-01-19,9
2022-01-18,9
2021-09-01,8
2021-02-22,8
2022-05-17,8
2021-08-28,8
2021-12-09,8
2020-11-17,8
2022-01-12,7
2022-05-06,7
2022-02-08,7
2022-01-25,7
2022-01-31,7
2022-02-09,7
2022-02-28,7
2022-01-19,7
2022-05-17,7
2020-12-23,7
2022-04-25,7
2022-03-15,7
2022-04-25,6
2022-09-28,6
2021-11-26,6
2021-07-12,6
2022-01-18,6
2021-06-03,6
2022-01-13,6
2022-03-14,6
2022-03-14,5
2022-03-14,5
2022-02-26,5
2022-06-14,5
2022-09-28,5
2022-06-14,5
2022-09-01,5
2022-12-01,5
2021-09-27,5
2022-06-01,5
2021-02-01,5
2022-06-01,5
2022-04-22,5
2021-04-05,5
2022-03-02,5
2022-05-06,5
2022-02-17,5
2022-03-29,5
2022-03-24,5
2022-06-28,5
2021-09-29,5
2021-12-01,5
2021-09-12,5
2022-06-01,5
2022-04-22,5
2022-06-02,5
2022-02-13,5
2022-01-20,4
2022-08-13,4
2022-01-06,4
2022-09-05,4
2021-02-26,4
2022-01-13,4
2021-11-05,4
2022-04-06,4
2022-03-15,4
2022-08-19,4
2021-01-04,4
2022-02-09,4
2022-04-25,4
2021-07-01,4
2022-01-19,4
2022-08-01,4
2020-12-23,4
2021-04-01,4
2022-08-13,4
2022-03-01,4
2022-08-22,4
2022-03-02,4
2021-11-20,4
2022-04-22,4
2022-06-01,4
2022-03-14,4
2020-12-23,4
2022-02-03,4
2022-06-08,4
2022-08-06,4
2022-06-01,4
2022-03-02,3
2022-02-24,3
2021-08-09,3
2021-04-03,3
2021-10-11,3
2022-05-17,3
2022-06-01,3
2021-07-17,3
2022-03-14,3
2021-02-15,3
2022-05-17,3
2021-11-18,3
2022-07-17,3
2022-01-05,3
2022-05-23,3
2022-04-22,3
2022-04-25,3
2022-05-16,3
2022-07-05,3
2022-03-02,3
2022-01-17,3
2022-03-02,3
2022-04-23,3
2021-11-18,3
2021-12-20,3
2020-12-20,3
2022-01-12,3
2022-07-04,3
2020-11-18,3
2022-09-13,3
2022-04-09,3
2022-02-28,3
2021-12-08,3
2022-08-20,3
2022-03-15,3
2021-11-24,3
2022-09-04,3
2021-12-14,2
2022-02-15,2
2021-04-12,2
2022-05-16,2
2022-06-13,2
2022-03-07,2
2021-11-05,2
2022-03-02,2
2021-03-15,2
2021-07-18,2
2022-03-25,2
2021-11-29,2
2022-06-01,2
2022-03-14,2
2022-02-09,2
2022-01-12,2
2022-03-17,2
2022-04-23,2
2022-05-07,2
2022-04-22,2
2021-05-04,2
2021-07-27,2
2021-07-26,2
2021-08-31,2
2021-03-04,2
2021-02-22,2
2022-03-04,2
2022-04-22,2
2021-11-24,2
2022-04-21,2
2022-03-07,2
2022-03-14,2
2022-03-19,2
2022-04-07,2
2022-02-17,2
2022-03-06,2
2022-07-05,2
2021-01-09,2
2022-08-25,2
2021-08-31,2
2022-02-09,2
2022-09-09,2
2021-02-03,2
2021-09-01,2
2022-07-04,2
2022-03-09,2
2022-07-03,2
2021-12-17,2
2021-02-12,2
2022-09-04,2
2021-04-05,2
2022-10-03,2
2022-09-05,2
2022-03-14,2
2022-09-04,2
2022-07-26,2
2022-01-26,2
2022-09-03,2
2022-03-08,2
2021-12-17,2
2021-09-16,2
2022-09-01,2
2022-08-07,2
2021-07-10,2
2022-09-02,2
2022-07-05,2
2022-06-04,2
2022-01-06,2
2022-01-26,2
2022-03-26,2
2022-06-03,2
2021-08-28,2
2021-03-08,1
2022-03-30,1
2021-03-13,1
2022-08-24,1
2022-10-03,1
2021-09-20,1
2022-09-20,1
2022-03-31,1
2022-08-19,1
2022-07-20,1
2021-04-08,1
2022-10-07,1
2021-11-30,1
2022-05-12,1
2022-10-07,1
2022-09-27,1
2021-07-17,1
2021-07-17,1
2022-04-08,1
2022-04-15,1
2022-09-04,1
2022-03-14,1
2022-04-05,1
2022-03-29,1
2022-04-22,1
2021-02-12,1
2021-10-05,1
2022-09-22,1
2021-12-27,1
2022-07-08,1
2022-02-28,1
2022-08-18,1
2021-10-18,1
2022-06-02,1
2022-09-20,1
2022-03-01,1
2022-09-02,1
2022-09-20,1
2022-04-21,1
2022-10-06,1
2022-10-06,1
2022-03-24,1
2022-10-07,1
2022-03-21,1
2022-03-02,1
2022-06-01,1
2022-06-02,1
2021-09-09,1
2021-01-15,1
2022-02-28,1
2022-06-24,1
2022-01-24,1
2022-06-24,1
2021-06-15,1
2022-02-20,1
2022-04-07,1
2022-07-01,1
2022-02-22,1
2022-07-05,1
2021-03-21,1
2022-03-16,1
2021-07-08,1
2022-01-29,1
2021-02-17,1
2022-07-03,1
2021-08-19,1
2021-10-21,1
2022-02-14,1
2022-05-21,1
2021-03-04,1
2022-02-13,1
2022-04-07,1
2022-02-19,1
2022-05-30,1
2022-10-06,1
2021-06-22,1
2021-03-05,1
2022-08-31,1
2021-07-17,1
2022-09-08,1
2022-08-20,1
2022-03-19,1
2022-09-04,1
2022-02-14,1
2020-11-17,1
2022-02-28,1
2021-02-23,1
2020-12-02,1
2021-09-27,1
2022-03-09,1
2022-10-07,1
2021-11-11,1
2021-03-09,1
2022-08-20,1
2022-06-06,1
2022-06-02,1
2022-04-22,1
2022-06-03,1
2020-11-19,1
2022-07-04,1
2022-02-28,1
2021-12-27,1
2021-12-13,1
2022-04-22,1
2022-05-07,1
2022-07-05,1
2022-04-23,1
2022-08-01,1
2022-08-13,1
2022-08-13,1
2021-10-07,1
2021-01-02,1
2022-06-04,1
2022-07-27,1
2022-01-06,1
2022-02-03,1
2022-04-07,1
2021-04-14,1
2022-08-14,1
2022-06-03,1
2022-08-18,1
2021-09-01,1
2022-04-27,1
2021-01-18,1
2022-04-22,1
2022-07-08,1
2022-08-22,1
2022-01-26,1
2022-06-30,1
2022-07-26,1
2022-06-27,1
2022-01-08,1
2022-01-31,1
2022-02-01,1
2022-01-08,1
2022-01-17,1
2022-09-02,1
2020-11-17,1
2022-05-19,1
2021-02-15,1
2022-09-14,1
2022-03-30,1
2020-12-19,1
2021-10-21,1
2021-06-10,1
2022-07-07,1
2022-08-01,1
2022-09-14,1
2022-03-14,1
2022-01-15,1
2022-05-30,1
2021-09-28,1
2022-01-02,1
2022-01-16,1
2021-07-17,1
2022-04-24,1
2022-09-14,1
2022-08-15,1
2022-08-17,1
2022-09-01,1
2022-06-16,1
2021-11-05,1
2022-08-15,1
2022-08-13,1
2022-02-13,1
2022-07-05,1
2022-03-14,1
2022-05-30,1
2022-08-03,1
2022-06-05,1
2022-07-16,1
2022-04-22,1
2022-08-17,1
2022-01-30,1
2021-08-21,1
2022-01-22,1
2020-11-17,1
2022-05-19,1
2021-02-15,1
2022-03-14,1
2021-12-01,1
2022-01-22,1
2021-12-24,1
2021-12-31,1
2022-06-30,1
2022-04-27,1
2022-07-26,1
2022-04-06,1
2022-05-07,1
2022-04-23,1
2022-08-13,1
2022-08-11,1
2022-07-22,1
2021-10-30,1
2022-04-25,1
2022-03-31,1
2021-10-21,1
2022-08-23,1
2022-04-08,1
2022-04-05,1
2020-11-17,1
2022-07-04,1
2022-03-02,1
2022-06-01,1
2022-07-27,1
2021-02-01,1
2022-07-05,1
2022-06-04,1
2022-01-24,1
2022-05-04,1
2021-12-04,1
2022-03-14,1
2022-05-07,1
2022-02-13,1
2022-08-13,1
2022-04-23,1
2022-04-10,1
2022-01-26,1
2022-01-24,1
2022-01-27,1
2022-06-01,1
2022-08-15,1
2021-05-11,1
2022-09-04,1
2020-11-17,1
2022-08-14,1
2022-05-22,1
2022-01-08,1
2021-12-27,1
2022-08-07,1
2022-02-28,1
2022-04-22,1
2022-08-26,1
2022-08-13,1
2022-08-13,1
2022-01-08,1
2020-11-19,1
2022-07-19,1
2021-11-09,1
2022-05-04,1
2021-01-07,1
2022-02-12,1
2020-12-07,1
